model,accuracy,precision,recall,f1,roc_auc
xgboost,0.8381079280479681,0.5897435897435898,0.6764705882352942,0.6301369863013698,0.864260125249542
random_forest,0.8307794803464357,0.5718232044198895,0.6764705882352942,0.6197604790419161,0.8606913337161922
gradient_boosting,0.8640906062624917,0.7524752475247525,0.49673202614379086,0.5984251968503937,0.8657983974621927
decision_tree,0.7828114590273151,0.47844827586206895,0.7254901960784313,0.5766233766233766,0.83880958241037
knn,0.8394403730846103,0.6815642458100558,0.39869281045751637,0.5030927835051546,0.8016326195750266
logistic_regression,0.7301798800799467,0.40159045725646125,0.6601307189542484,0.49938195302843014,0.770566357644871
